customer_id,customer_name,dob,country,risk_category,account_id,txn_id,timestamp,amount,origin_country,dest_country,channel,rule_triggered,reason
2444,Susan Jones,1967-12-19,CN,Low,4883,542798,2023-01-05T00:39:28,9762.18,BR,RU,Branch,Rule 1 - Structuring,Transaction amount between 9000 and 9999
2444,Susan Jones,1967-12-19,CN,Low,4883,542798,2023-01-05T00:39:28,9762.18,BR,RU,Branch,Rule 3 - High-Risk Country,Destination country is high-risk
2444,Susan Jones,1967-12-19,CN,Low,4883,542807,2023-02-04T19:04:42,9593.29,GB,BR,Mobile,Rule 1 - Structuring,Transaction amount between 9000 and 9999
2444,Susan Jones,1967-12-19,CN,Low,4883,542783,2023-02-11T03:42:28,8982.85,US,RU,ATM,Rule 3 - High-Risk Country,Destination country is high-risk
2444,Susan Jones,1967-12-19,CN,Low,4883,542801,2023-02-12T11:57:36,9861.1,GB,FR,Branch,Rule 1 - Structuring,Transaction amount between 9000 and 9999
2444,Susan Jones,1967-12-19,CN,Low,4882,542538,2023-02-18T23:57:05,1532.01,RU,RU,Mobile,Rule 3 - High-Risk Country,Destination country is high-risk
2444,Susan Jones,1967-12-19,CN,Low,4881,542389,2023-03-04T11:25:02,9627.48,BR,DE,Online,Rule 1 - Structuring,Transaction amount between 9000 and 9999
2444,Susan Jones,1967-12-19,CN,Low,4882,542566,2023-03-10T03:16:23,7874.77,NG,RU,ATM,Rule 3 - High-Risk Country,Destination country is high-risk
2444,Susan Jones,1967-12-19,CN,Low,4882,542564,2023-03-10T19:03:21,9618.75,FR,FR,Online,Rule 1 - Structuring,Transaction amount between 9000 and 9999
2444,Susan Jones,1967-12-19,CN,Low,4883,542881,2023-03-25T02:35:23,2180.05,US,RU,ATM,Rule 3 - High-Risk Country,Destination country is high-risk
2444,Susan Jones,1967-12-19,CN,Low,4883,542748,2023-04-03T00:32:08,9139.87,BR,GB,Online,Rule 1 - Structuring,Transaction amount between 9000 and 9999
